DISTRICT,DD005AMA1221R,DD005AMA1321R,DD005AMA1S21R,DD005ARE1221R,DD005ARE1321R,DD005ARE1S21R,DD005ASC1221R,DD005ASC1321R,DD005ASC1S21R,DD205AMA1221R,DD205AMA1321R,DD205AMA1S21R,DD205ARE1221R,DD205ARE1321R,DD205ARE1S21R,DD205ASC1221R,DD205ASC1321R,DD205ASC1S21R,DD305AMA1221R,DD305AMA1321R,DD305AMA1S21R,DD305ARE1221R,DD305ARE1321R,DD305ARE1S21R,DD305ASC1221R,DD305ASC1321R,DD305ASC1S21R,DD405AMA1221R,DD405AMA1321R,DD405AMA1S21R,DD405ARE1221R,DD405ARE1321R,DD405ARE1S21R,DD405ASC1221R,DD405ASC1321R,DD405ASC1S21R,DDA05AMA1221R,DDA05AMA1321R,DDA05AMA1S21R,DDA05ARE1221R,DDA05ARE1321R,DDA05ARE1S21R,DDA05ASC1221R,DDA05ASC1321R,DDA05ASC1S21R,DDB05AMA1221R,DDB05AMA1321R,DDB05AMA1S21R,DDB05ARE1221R,DDB05ARE1321R,DDB05ARE1S21R,DDB05ASC1221R,DDB05ASC1321R,DDB05ASC1S21R,DDE05AMA1221R,DDE05AMA1321R,DDE05AMA1S21R,DDE05ARE1221R,DDE05ARE1321R,DDE05ARE1S21R,DDE05ASC1221R,DDE05ASC1321R,DDE05ASC1S21R,DDF05AMA1221R,DDF05AMA1321R,DDF05AMA1S21R,DDF05ARE1221R,DDF05ARE1321R,DDF05ARE1S21R,DDF05ASC1221R,DDF05ASC1321R,DDF05ASC1S21R,DDH05AMA1221R,DDH05AMA1321R,DDH05AMA1S21R,DDH05ARE1221R,DDH05ARE1321R,DDH05ARE1S21R,DDH05ASC1221R,DDH05ASC1321R,DDH05ASC1S21R,DDI05AMA1221R,DDI05AMA1321R,DDI05AMA1S21R,DDI05ARE1221R,DDI05ARE1321R,DDI05ARE1S21R,DDI05ASC1221R,DDI05ASC1321R,DDI05ASC1S21R,DDL05AMA1221R,DDL05AMA1321R,DDL05AMA1S21R,DDL05ARE1221R,DDL05ARE1321R,DDL05ARE1S21R,DDL05ASC1221R,DDL05ASC1321R,DDL05ASC1S21R,DDM05AMA1221R,DDM05AMA1321R,DDM05AMA1S21R,DDM05ARE1221R,DDM05ARE1321R,DDM05ARE1S21R,DDM05ASC1221R,DDM05ASC1321R,DDM05ASC1S21R,DDR05AMA1221R,DDR05AMA1321R,DDR05AMA1S21R,DDR05ARE1221R,DDR05ARE1321R,DDR05ARE1S21R,DDR05ASC1221R,DDR05ASC1321R,DDR05ASC1S21R,DDS05AMA1221R,DDS05AMA1321R,DDS05AMA1S21R,DDS05ARE1221R,DDS05ARE1321R,DDS05ARE1S21R,DDS05ASC1221R,DDS05ASC1321R,DDS05ASC1S21R,DDW05AMA1221R,DDW05AMA1321R,DDW05AMA1S21R,DDW05ARE1221R,DDW05ARE1321R,DDW05ARE1S21R,DDW05ASC1221R,DDW05ASC1321R,DDW05ASC1S21R,DISTNAME,DNC05AMA1221R,DNC05AMA1321R,DNC05AMA1S21R,DNC05ARE1221R,DNC05ARE1321R,DNC05ARE1S21R,DNC05ASC1221R,DNC05ASC1321R,DNC05ASC1S21R,DNM05AMA1221R,DNM05AMA1321R,DNM05AMA1S21R,DNM05ARE1221R,DNM05ARE1321R,DNM05ARE1S21R,DNM05ASC1221R,DNM05ASC1321R,DNM05ASC1S21R,DNS05AMA1221R,DNS05AMA1321R,DNS05AMA1S21R,DNS05ARE1221R,DNS05ARE1321R,DNS05ARE1S21R,DNS05ASC1221R,DNS05ASC1321R,DNS05ASC1S21R
"'001902",.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,87,72,93,72,48,85,46,17,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,67,87,73,40,80,33,13,73,88,73,96,69,50,85,46,15,77,67,56,100,67,33,78,33,11,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85,70,90,75,45,85,45,20,90,67,42,75,50,8,58,8,0,58,25,13,63,13,0,25,0,0,25,94,76,94,73,52,88,48,18,88,"CAYUGA ISD",90,76,93,83,52,90,52,21,86,82,65,94,53,41,76,35,12,76,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,27,83,46,29,81,24,4,60,20,0,60,20,0,60,0,0,20,40,13,70,33,23,80,10,3,43,68,34,87,58,42,92,18,0,61,56,33,67,44,33,56,33,0,56,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,20,80,35,18,70,30,8,60,19,3,73,22,11,65,14,0,35,11,0,44,11,0,44,11,0,22,58,29,89,50,32,85,26,5,66,"ELKHART ISD",58,32,88,52,32,88,24,4,62,46,18,75,36,25,68,25,4,57,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,59,31,86,51,29,76,49,25,82,43,0,71,57,0,71,43,14,71,58,23,84,45,19,77,39,10,84,54,38,83,58,42,79,42,25,83,83,17,83,17,17,67,33,17,67,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,26,89,44,19,74,56,26,81,26,11,63,21,11,42,21,0,58,10,0,60,10,10,30,0,0,40,57,38,89,54,35,78,51,27,86,"FRANKSTON ISD",61,30,82,52,30,73,42,27,76,56,33,94,50,28,83,61,22,94,.,.,.,.,.,.,.,.,.
"'001906",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,5,86,43,35,65,22,4,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,0,88,33,22,67,11,0,89,27,0,82,55,36,73,18,9,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,9,91,33,33,58,25,0,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,6,89,44,39,67,28,6,83,"NECHES ISD",31,8,92,54,38,62,31,8,92,56,0,78,30,30,70,10,0,70,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001907",45,19,84,38,23,74,26,7,59,33,11,44,33,33,67,44,22,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,39,19,72,41,26,71,31,9,60,23,9,41,23,9,59,16,7,39,36,15,68,35,20,68,25,6,55,31,15,64,42,24,65,21,6,48,43,19,83,41,25,72,25,6,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,15,85,33,16,70,23,5,57,47,22,79,40,27,77,39,13,71,29,10,63,28,15,58,17,3,42,21,7,46,29,14,50,29,14,43,46,27,84,55,36,80,48,14,77,"PALESTINE ISD",41,20,76,44,27,75,32,9,61,35,16,62,33,22,62,27,11,56,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001908",20,0,30,0,0,64,0,0,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,5,49,29,15,59,15,6,46,7,0,27,20,7,40,7,7,33,17,5,44,26,12,57,14,5,43,22,4,54,36,19,62,17,4,43,9,0,32,9,9,57,4,0,30,.,.,.,.,.,.,.,.,.,20,0,30,0,0,64,0,0,18,18,5,42,21,11,55,13,8,50,9,0,20,8,6,44,0,0,25,7,0,20,6,0,19,7,0,13,32,9,66,45,23,68,26,9,60,"WESTWOOD ISD",22,5,50,31,16,63,16,5,51,15,5,45,24,14,48,14,10,33,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001909",.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,18,73,27,23,64,32,18,77,.,.,.,.,.,.,.,.,.,25,0,75,0,0,50,13,0,75,45,36,64,45,36,73,36,27,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,0,82,9,9,55,27,9,64,11,0,67,11,0,44,11,0,67,0,0,60,0,0,40,20,0,60,31,19,75,31,25,63,25,19,75,"SLOCUM ISD",29,24,82,35,29,59,35,24,82,20,0,40,0,0,80,20,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'002901",26,9,65,47,18,85,3,0,41,80,20,100,100,100,100,40,20,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,23,74,46,28,78,27,10,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,15,67,40,19,77,17,4,51,42,21,72,52,33,78,28,11,55,38,20,70,41,23,76,19,7,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,10,65,42,13,84,3,0,39,43,25,75,40,23,78,27,10,67,20,7,53,23,10,60,7,1,33,18,9,50,23,14,50,18,9,32,52,29,80,53,33,80,43,17,73,"ANDREWS ISD",42,22,73,44,26,77,24,9,59,44,28,75,53,33,82,42,14,70,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003801",20,0,60,0,0,60,0,0,80,0,0,50,33,33,50,17,0,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,29,75,49,42,67,42,20,70,29,14,57,29,29,43,43,14,43,41,25,70,36,30,64,36,14,64,51,37,80,60,51,80,43,20,71,41,26,78,41,22,59,26,11,70,.,.,.,.,.,.,.,.,.,20,0,60,0,0,60,0,0,80,41,21,71,38,32,53,41,21,68,14,4,54,21,18,43,11,4,50,30,20,60,30,30,30,20,20,40,66,41,83,66,66,83,62,34,83,"PINEYWOODS COMMUNITY ACADEMY",46,28,74,44,38,66,36,18,66,47,32,79,63,53,68,58,26,79,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003902",78,33,89,33,17,72,22,6,78,100,17,100,33,17,100,33,17,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,79,49,95,56,40,88,55,22,84,57,14,86,36,7,71,29,0,71,70,37,94,42,25,80,41,12,80,83,52,96,62,45,83,52,23,80,82,39,95,43,27,80,41,9,77,.,.,.,.,.,.,.,.,.,76,29,88,29,12,71,18,0,76,75,46,95,49,34,92,59,21,89,59,25,89,24,13,75,29,3,68,50,22,83,11,6,56,28,0,44,79,58,96,64,49,91,65,29,87,"HUDSON ISD",79,47,94,53,36,87,54,19,83,80,53,98,65,51,90,59,29,88,67,50,83,67,33,100,50,17,83
