DISTRICT,D22C6X17R,D22C6X18R,D23C6X17R,D23C6X18R,D2DC6X17R,D2DC6X18R,D2EC6X17R,D2EC6X18R,D2GC6X17R,D2GC6X18R,D2NC6X17R,D2NC6X18R,D32C6X17R,D32C6X18R,D33C6X17R,D33C6X18R,D3DC6X17R,D3DC6X18R,D3EC6X17R,D3EC6X18R,D3GC6X17R,D3GC6X18R,D3NC6X17R,D3NC6X18R,D42C6X17R,D42C6X18R,D43C6X17R,D43C6X18R,D4DC6X17R,D4DC6X18R,D4EC6X17R,D4EC6X18R,D4GC6X17R,D4GC6X18R,D4NC6X17R,D4NC6X18R,DA2C6X17R,DA2C6X18R,DA3C6X17R,DA3C6X18R,DADC6X17R,DADC6X18R,DAEC6X17R,DAEC6X18R,DAGC6X17R,DAGC6X18R,DANC6X17R,DANC6X18R,DB2C6X17R,DB2C6X18R,DB3C6X17R,DB3C6X18R,DBDC6X17R,DBDC6X18R,DBEC6X17R,DBEC6X18R,DBGC6X17R,DBGC6X18R,DBNC6X17R,DBNC6X18R,DE2C6X17R,DE2C6X18R,DE3C6X17R,DE3C6X18R,DEDC6X17R,DEDC6X18R,DEEC6X17R,DEEC6X18R,DEGC6X17R,DEGC6X18R,DENC6X17R,DENC6X18R,DF2C6X17R,DF2C6X18R,DF3C6X17R,DF3C6X18R,DFDC6X17R,DFDC6X18R,DFEC6X17R,DFEC6X18R,DFGC6X17R,DFGC6X18R,DFNC6X17R,DFNC6X18R,DH2C6X17R,DH2C6X18R,DH3C6X17R,DH3C6X18R,DHDC6X17R,DHDC6X18R,DHEC6X17R,DHEC6X18R,DHGC6X17R,DHGC6X18R,DHNC6X17R,DHNC6X18R,DI2C6X17R,DI2C6X18R,DI3C6X17R,DI3C6X18R,DIDC6X17R,DIDC6X18R,DIEC6X17R,DIEC6X18R,DIGC6X17R,DIGC6X18R,DINC6X17R,DINC6X18R,DISTNAME,DL2C6X17R,DL2C6X18R,DL3C6X17R,DL3C6X18R,DLDC6X17R,DLDC6X18R,DLEC6X17R,DLEC6X18R,DLGC6X17R,DLGC6X18R,DLNC6X17R,DLNC6X18R,DM2C6X17R,DM2C6X18R,DM3C6X17R,DM3C6X18R,DMDC6X17R,DMDC6X18R,DMEC6X17R,DMEC6X18R,DMGC6X17R,DMGC6X18R,DMNC6X17R,DMNC6X18R,DR2C6X17R,DR2C6X18R,DR3C6X17R,DR3C6X18R,DRDC6X17R,DRDC6X18R,DREC6X17R,DREC6X18R,DRGC6X17R,DRGC6X18R,DRNC6X17R,DRNC6X18R,DS2C6X17R,DS2C6X18R,DS3C6X17R,DS3C6X18R,DSDC6X17R,DSDC6X18R,DSEC6X17R,DSEC6X18R,DSGC6X17R,DSGC6X18R,DSNC6X17R,DSNC6X18R,DW2C6X17R,DW2C6X18R,DW3C6X17R,DW3C6X18R,DWDC6X17R,DWDC6X18R,DWEC6X17R,DWEC6X18R,DWGC6X17R,DWGC6X18R,DWNC6X17R,DWNC6X18R
"'001902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,97.8,100,97.8,100,2.2,0,0,0,97.8,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,0,0,0,0,100,100,0,0,95,100,95,100,5,0,0,0,95,100,0,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,100,100,0,0,93.3,100,93.3,100,6.7,0,0,0,93.3,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,97.6,100,97.6,100,2.4,0,0,0,97.6,100,0,0
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,98.9,100,98.9,100,1.1,0,1.1,0,97.8,100,0,0,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,100,100,100,100,0,0,2.5,0,97.5,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,"ELKHART ISD",.,.,.,.,.,.,.,.,.,.,.,.,97.9,100,97.9,100,2.1,0,2.1,0,95.7,100,0,0,100,100,100,100,0,0,1.8,0,98.2,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,98.6,100,98.6,100,1.4,0,1.4,0,97.2,100,0,0
"'001904",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,100,96.7,100,96.7,0,3.3,0,0,100,96.7,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,92,100,92,0,8,0,0,100,92,0,0,100,100,100,100,0,0,0,0,100,100,0,0,-1,90,-1,90,-1,10,-1,0,-1,90,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"FRANKSTON ISD",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,100,94.1,100,94.1,0,5.9,0,0,100,94.1,0,0,100,93.3,100,93.3,0,6.7,0,0,100,93.3,0,0,100,66.7,100,66.7,0,33.3,0,0,100,66.7,0,0,100,97.7,100,97.7,0,2.3,0,0,100,97.7,0,0
"'001906",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,4.2,100,95.8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,0,0,0,11.1,100,88.9,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,"NECHES ISD",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,100,100,100,100,0,0,0,7.1,100,92.9,0,0,100,100,100,100,0,0,0,14.3,100,85.7,0,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,100,100,100,100,0,0,0,5.6,100,94.4,0,0
"'001907",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,99.5,99.5,99.5,99.5,0.5,0.5,0.5,0,99.1,99.5,0,0,100,98,100,98,0,2,1.9,0,98.1,98,0,0,100,99.2,100,99.2,0,0.8,0,0,100,99.2,0,0,99.1,100,99.1,100,0.9,0,0,0,99.1,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,"PALESTINE ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,99.1,100,99.1,0,0.9,1,0,99,99.1,0,0,100,99.2,100,99.2,0,0.8,0,0,100,99.2,0,0,100,100,100,100,0,0,0,0,100,100,0,0,98.6,100,98.6,100,1.4,0,0,0,98.6,100,0,0
"'001908",-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,100,99,100,99,0,1,1,0,99,99,0,0,100,96,100,96,0,4,0,0,100,96,0,0,100,98,100,98,0,2,4.2,0,95.8,98,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,"WESTWOOD ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,98.1,100,98.1,0,1.9,2,0,98,98.1,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,1.6,0,98.4,100,0,0
"'001909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,100,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,"SLOCUM ISD",.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,100,100,100,100,0,0,0,0,100,100,0,0
"'002901",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,97.1,98.3,96.3,98.3,2.9,1.7,0,0,96.3,98.3,0.8,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,96.3,97.5,93.8,97.5,3.8,2.5,0,0,93.8,97.5,2.5,0,96.8,98.3,96.8,98.3,3.2,1.7,0,0,96.8,98.3,0,0,97,98.1,95.9,98.1,3,1.9,0,0,95.9,98.1,1.2,0,.,.,.,.,.,.,.,.,.,.,.,.,"ANDREWS ISD",91.7,100,91.7,100,8.3,0,0,0,91.7,100,0,0,97.4,98.3,95.7,98.3,2.6,1.7,0,0,95.7,98.3,1.7,0,94.6,98.3,94.6,98.3,5.4,1.7,0,0,94.6,98.3,0,0,90,100,70,100,10,0,0,0,70,100,20,0,96.9,98.7,96.9,98.7,3.1,1.3,0,0,96.9,98.7,0,0
"'003801",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,100,97.9,100,97.9,0,2.1,0,0,100,97.9,0,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,100,92.9,100,92.9,0,7.1,0,0,100,92.9,0,0,100,96.3,100,96.3,0,3.7,0,0,100,96.3,0,0,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,96.7,100,96.7,0,3.3,0,0,100,96.7,0,0
"'003902",100,-1,100,-1,0,-1,20,-1,80,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,97.7,98.5,97.7,98.5,2.3,1.5,1.4,0,96.3,98.5,0,0,90,100,90,100,10,0,0,0,90,100,0,0,96.1,96.9,96.1,96.9,3.9,3.1,2,0,94.1,96.9,0,0,99.1,100,99.1,100,0.9,0,1.8,0,97.4,100,0,0,100,98.2,100,98.2,0,1.8,0,0,100,98.2,0,0,.,.,.,.,.,.,.,.,.,.,.,.,"HUDSON ISD",100,83.3,100,83.3,0,16.7,0,0,100,83.3,0,0,96.2,97.2,96.2,97.2,3.8,2.8,1,0,95.2,97.2,0,0,95,96.6,95,96.6,5,3.4,3.8,0,91.3,96.6,0,0,88.2,95.8,88.2,95.8,11.8,4.2,0,0,88.2,95.8,0,0,97.3,98.5,97.3,98.5,2.7,1.5,1.3,0,96,98.5,0,0
