DISTRICT,DD000A001221R,DD000A001321R,DD000A001S21R,DD000AC01221R,DD000AC01321R,DD000AC01S21R,DD000AM01221R,DD000AM01321R,DD000AM01S21R,DD000AR01221R,DD000AR01321R,DD000AR01S21R,DD000AS01221R,DD000AS01321R,DD000AS01S21R,DD000AW01221R,DD000AW01321R,DD000AW01S21R,DD200A001221R,DD200A001321R,DD200A001S21R,DD200AC01221R,DD200AC01321R,DD200AC01S21R,DD200AM01221R,DD200AM01321R,DD200AM01S21R,DD200AR01221R,DD200AR01321R,DD200AR01S21R,DD200AS01221R,DD200AS01321R,DD200AS01S21R,DD200AW01221R,DD200AW01321R,DD200AW01S21R,DD300A001221R,DD300A001321R,DD300A001S21R,DD300AC01221R,DD300AC01321R,DD300AC01S21R,DD300AM01221R,DD300AM01321R,DD300AM01S21R,DD300AR01221R,DD300AR01321R,DD300AR01S21R,DD300AS01221R,DD300AS01321R,DD300AS01S21R,DD300AW01221R,DD300AW01321R,DD300AW01S21R,DD400A001221R,DD400A001321R,DD400A001S21R,DD400AC01221R,DD400AC01321R,DD400AC01S21R,DD400AM01221R,DD400AM01321R,DD400AM01S21R,DD400AR01221R,DD400AR01321R,DD400AR01S21R,DD400AS01221R,DD400AS01321R,DD400AS01S21R,DD400AW01221R,DD400AW01321R,DD400AW01S21R,DDA00A001221R,DDA00A001321R,DDA00A001S21R,DDA00AC01221R,DDA00AC01321R,DDA00AC01S21R,DDA00AM01221R,DDA00AM01321R,DDA00AM01S21R,DDA00AR01221R,DDA00AR01321R,DDA00AR01S21R,DDA00AS01221R,DDA00AS01321R,DDA00AS01S21R,DDA00AW01221R,DDA00AW01321R,DDA00AW01S21R,DDB00A001221R,DDB00A001321R,DDB00A001S21R,DDB00AC01221R,DDB00AC01321R,DDB00AC01S21R,DDB00AM01221R,DDB00AM01321R,DDB00AM01S21R,DDB00AR01221R,DDB00AR01321R,DDB00AR01S21R,DDB00AS01221R,DDB00AS01321R,DDB00AS01S21R,DDB00AW01221R,DDB00AW01321R,DDB00AW01S21R,DDE00A001221R,DDE00A001321R,DDE00A001S21R,DDE00AC01221R,DDE00AC01321R,DDE00AC01S21R,DDE00AM01221R,DDE00AM01321R,DDE00AM01S21R,DDE00AR01221R,DDE00AR01321R,DDE00AR01S21R,DDE00AS01221R,DDE00AS01321R,DDE00AS01S21R,DDE00AW01221R,DDE00AW01321R,DDE00AW01S21R,DDF00A001221R,DDF00A001321R,DDF00A001S21R,DDF00AC01221R,DDF00AC01321R,DDF00AC01S21R,DDF00AM01221R,DDF00AM01321R,DDF00AM01S21R,DDF00AR01221R,DDF00AR01321R,DDF00AR01S21R,DDF00AS01221R,DDF00AS01321R,DDF00AS01S21R,DDF00AW01221R,DDF00AW01321R,DDF00AW01S21R,DDH00A001221R,DDH00A001321R,DDH00A001S21R,DDH00AC01221R,DDH00AC01321R,DDH00AC01S21R,DDH00AM01221R,DDH00AM01321R,DDH00AM01S21R,DDH00AR01221R,DDH00AR01321R,DDH00AR01S21R,DDH00AS01221R,DDH00AS01321R,DDH00AS01S21R,DDH00AW01221R,DDH00AW01321R,DDH00AW01S21R,DDI00A001221R,DDI00A001321R,DDI00A001S21R,DDI00AC01221R,DDI00AC01321R,DDI00AC01S21R,DDI00AM01221R,DDI00AM01321R,DDI00AM01S21R,DDI00AR01221R,DDI00AR01321R,DDI00AR01S21R,DDI00AS01221R,DDI00AS01321R,DDI00AS01S21R,DDI00AW01221R,DDI00AW01321R,DDI00AW01S21R,DDL00A001221R,DDL00A001321R,DDL00A001S21R,DDL00AC01221R,DDL00AC01321R,DDL00AC01S21R,DDL00AM01221R,DDL00AM01321R,DDL00AM01S21R,DDL00AR01221R,DDL00AR01321R,DDL00AR01S21R,DDL00AS01221R,DDL00AS01321R,DDL00AS01S21R,DDL00AW01221R,DDL00AW01321R,DDL00AW01S21R,DDM00A001221R,DDM00A001321R,DDM00A001S21R,DDM00AC01221R,DDM00AC01321R,DDM00AC01S21R,DDM00AM01221R,DDM00AM01321R,DDM00AM01S21R,DDM00AR01221R,DDM00AR01321R,DDM00AR01S21R,DDM00AS01221R,DDM00AS01321R,DDM00AS01S21R,DDM00AW01221R,DDM00AW01321R,DDM00AW01S21R,DDR00A001221R,DDR00A001321R,DDR00A001S21R,DDR00AC01221R,DDR00AC01321R,DDR00AC01S21R,DDR00AM01221R,DDR00AM01321R,DDR00AM01S21R,DDR00AR01221R,DDR00AR01321R,DDR00AR01S21R,DDR00AS01221R,DDR00AS01321R,DDR00AS01S21R,DDR00AW01221R,DDR00AW01321R,DDR00AW01S21R,DDS00A001221R,DDS00A001321R,DDS00A001S21R,DDS00AC01221R,DDS00AC01321R,DDS00AC01S21R,DDS00AM01221R,DDS00AM01321R,DDS00AM01S21R,DDS00AR01221R,DDS00AR01321R,DDS00AR01S21R,DDS00AS01221R,DDS00AS01321R,DDS00AS01S21R,DDS00AW01221R,DDS00AW01321R,DDS00AW01S21R,DDW00A001221R,DDW00A001321R,DDW00A001S21R,DDW00AC01221R,DDW00AC01321R,DDW00AC01S21R,DDW00AM01221R,DDW00AM01321R,DDW00AM01S21R,DDW00AR01221R,DDW00AR01321R,DDW00AR01S21R,DDW00AS01221R,DDW00AS01321R,DDW00AS01S21R,DDW00AW01221R,DDW00AW01321R,DDW00AW01S21R,DISTNAME,DNC00A001221R,DNC00A001321R,DNC00A001S21R,DNC00AC01221R,DNC00AC01321R,DNC00AC01S21R,DNC00AM01221R,DNC00AM01321R,DNC00AM01S21R,DNC00AR01221R,DNC00AR01321R,DNC00AR01S21R,DNC00AS01221R,DNC00AS01321R,DNC00AS01S21R,DNC00AW01221R,DNC00AW01321R,DNC00AW01S21R,DNM00A001221R,DNM00A001321R,DNM00A001S21R,DNM00AC01221R,DNM00AC01321R,DNM00AC01S21R,DNM00AM01221R,DNM00AM01321R,DNM00AM01S21R,DNM00AR01221R,DNM00AR01321R,DNM00AR01S21R,DNM00AS01221R,DNM00AS01321R,DNM00AS01S21R,DNM00AW01221R,DNM00AW01321R,DNM00AW01S21R,DNS00A001221R,DNS00A001321R,DNS00A001S21R,DNS00AC01221R,DNS00AC01321R,DNS00AC01S21R,DNS00AM01221R,DNS00AM01321R,DNS00AM01S21R,DNS00AR01221R,DNS00AR01321R,DNS00AR01S21R,DNS00AS01221R,DNS00AS01321R,DNS00AS01S21R,DNS00AW01221R,DNS00AW01321R,DNS00AW01S21R
"'001902",20,0,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,57,30,80,-1,-1,-1,50,25,88,64,36,73,50,33,83,-1,-1,-1,50,0,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,30,85,52,21,86,67,37,89,64,32,83,54,26,81,42,13,76,31,10,59,-1,-1,-1,20,10,60,45,9,55,-1,-1,-1,-1,-1,-1,49,21,79,33,10,74,56,26,83,56,26,78,43,20,80,28,8,77,62,32,86,53,15,85,70,40,92,67,37,85,51,21,77,43,24,84,50,24,87,25,13,81,67,36,97,54,26,83,40,20,80,22,0,89,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,0,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,59,28,83,52,27,88,65,35,87,62,27,82,56,32,85,41,5,71,34,9,69,13,5,69,43,12,77,38,9,66,29,11,68,19,4,59,20,4,43,18,0,35,29,7,62,13,2,33,33,17,58,0,0,0,63,31,85,58,23,89,69,39,89,67,34,85,56,25,81,45,15,74,"CAYUGA ISD",61,30,85,59,24,90,66,38,90,66,30,84,57,29,81,39,17,70,58,28,84,36,14,78,71,35,88,61,38,82,41,18,82,47,3,90,63,22,96,-1,-1,-1,67,22,89,90,30,100,.,.,.,29,14,100
"'001903",37,19,73,38,13,88,26,13,70,43,22,74,-1,-1,-1,33,33,50,48,21,75,55,27,64,57,13,78,40,24,76,40,40,80,43,14,71,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,25,83,53,21,80,50,23,84,57,28,83,64,32,91,52,23,78,21,4,49,20,7,40,20,0,55,30,7,56,0,0,29,-1,-1,-1,42,15,75,43,17,72,39,13,75,43,16,75,50,20,85,38,11,73,56,25,86,51,19,84,52,22,85,61,31,87,62,28,93,51,18,84,53,27,80,50,19,78,47,25,80,55,31,80,71,35,94,56,17,78,100,40,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,23,13,58,40,20,80,20,7,53,20,13,60,-1,-1,-1,-1,-1,-1,53,25,80,55,23,77,49,23,82,52,24,78,65,35,89,53,28,72,24,6,62,25,4,52,25,6,67,24,7,62,57,14,100,4,0,44,15,4,39,23,10,47,12,3,40,18,3,38,6,0,41,7,0,14,56,26,85,57,22,85,52,23,86,59,28,85,68,32,95,53,25,79,"ELKHART ISD",56,25,84,55,21,80,53,23,84,57,27,84,67,33,91,52,20,78,51,26,82,51,20,81,45,22,83,56,30,80,56,26,91,52,29,79,67,39,89,-1,-1,-1,58,25,92,67,40,93,-1,-1,-1,-1,-1,-1
"'001904",26,15,59,0,0,71,50,28,72,15,10,50,-1,-1,-1,40,20,40,38,23,60,50,33,67,44,33,67,37,16,58,-1,-1,-1,20,0,20,17,6,72,-1,-1,-1,33,17,83,17,0,67,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,23,79,52,24,80,55,25,85,52,21,76,62,43,81,32,4,67,34,6,63,27,9,64,35,3,71,45,7,67,20,7,47,13,0,38,43,18,74,39,15,75,49,21,81,42,16,71,44,31,71,28,2,61,52,23,80,51,21,83,54,24,84,55,25,79,51,34,77,39,7,68,44,20,72,33,20,73,57,24,78,38,17,64,40,30,80,42,8,67,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,25,16,57,0,0,67,47,29,71,16,11,47,-1,-1,-1,40,20,40,52,24,78,54,28,77,56,26,85,50,18,73,72,50,84,25,0,66,24,8,55,26,6,58,24,9,65,23,7,49,36,21,59,15,3,36,22,4,43,8,4,32,23,2,59,24,7,37,29,6,47,24,0,29,57,27,83,60,28,84,58,28,88,56,24,79,75,52,89,34,4,74,"FRANKSTON ISD",55,24,79,52,25,79,58,26,85,55,21,77,70,49,86,33,4,68,46,21,77,52,22,83,50,24,84,46,21,74,46,30,70,29,3,66,53,40,67,-1,-1,-1,60,60,60,50,33,83,-1,-1,-1,-1,-1,-1
"'001906",50,6,94,-1,-1,-1,67,17,100,33,0,83,-1,-1,-1,.,.,.,57,14,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,23,83,57,31,93,58,26,89,52,22,78,51,23,81,38,7,73,41,23,68,60,60,80,43,36,79,39,11,61,-1,-1,-1,20,0,40,48,14,81,46,15,96,58,17,87,42,13,73,47,18,82,41,0,68,61,27,86,68,41,94,57,27,85,64,26,84,65,27,81,43,13,87,58,23,88,56,33,100,72,28,88,48,19,89,40,20,80,63,13,75,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,50,6,94,-1,-1,-1,67,17,100,33,0,83,-1,-1,-1,.,.,.,45,19,81,47,21,91,58,25,93,40,18,72,29,18,82,32,0,59,34,2,73,46,8,92,42,5,82,30,0,66,25,0,75,21,0,57,26,6,71,40,0,80,30,0,80,14,14,64,-1,-1,-1,-1,-1,-1,54,24,85,58,28,92,58,25,92,54,24,78,53,25,81,34,7,83,"NECHES ISD",55,23,86,64,33,95,57,26,91,56,23,80,55,19,87,35,9,82,48,22,77,46,27,88,59,25,84,41,19,72,42,33,67,45,0,45,0,0,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'001907",29,10,61,33,9,67,35,14,70,28,10,57,21,8,52,17,1,45,40,17,60,56,16,64,37,12,58,38,21,63,42,26,63,29,6,47,70,43,92,71,43,100,82,45,91,73,55,91,50,33,83,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,38,16,66,43,18,71,37,17,69,39,15,64,45,24,70,23,4,51,24,7,52,28,10,54,21,9,55,25,6,49,32,12,62,16,1,44,34,13,63,41,16,69,34,15,66,35,11,60,39,20,65,18,2,46,39,16,67,39,16,68,35,17,68,44,16,68,44,25,67,29,7,54,38,14,68,41,15,73,39,17,72,38,13,65,41,21,67,21,3,51,56,22,72,-1,-1,-1,50,17,67,67,17,83,-1,-1,-1,-1,-1,-1,21,7,54,25,5,60,27,10,64,18,7,48,14,4,42,10,0,38,37,16,65,46,20,73,40,17,70,35,15,61,46,22,72,18,2,49,21,6,51,23,5,56,22,7,57,20,5,47,28,9,56,11,0,34,21,7,37,24,9,45,20,7,40,18,6,33,33,12,48,13,3,25,51,26,76,56,29,81,49,25,77,53,27,76,62,36,82,28,8,58,"PALESTINE ISD",38,16,67,43,17,72,38,18,71,38,14,64,44,22,70,23,4,55,38,17,63,42,21,69,34,13,62,41,19,64,49,28,68,20,5,40,43,13,76,50,30,80,45,10,79,39,11,71,78,22,89,0,0,63
"'001908",11,1,39,14,0,41,16,4,47,6,0,29,0,0,44,22,0,44,30,9,61,50,7,79,28,13,62,30,7,57,36,14,86,8,0,31,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,11,60,41,13,70,28,11,60,32,10,56,41,17,75,19,2,48,24,9,50,30,13,65,18,11,47,28,8,47,22,4,59,14,6,44,27,9,55,35,12,65,23,9,55,29,8,52,35,15,69,18,3,42,32,11,62,38,12,66,26,10,58,36,12,61,40,16,77,22,3,55,30,9,58,40,13,65,24,9,58,31,8,53,44,22,82,19,0,48,38,25,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,11,1,39,14,0,41,16,4,47,6,0,29,0,0,44,22,0,44,31,11,59,43,14,74,30,11,62,29,9,52,43,19,72,16,1,41,17,4,46,26,4,58,14,4,44,16,4,40,24,10,62,7,0,34,16,5,34,14,5,32,17,7,39,18,4,32,18,7,43,9,0,21,36,12,65,44,13,74,33,11,65,36,13,63,46,20,74,22,1,51,"WESTWOOD ISD",32,11,62,42,14,72,28,10,60,33,11,58,41,19,79,20,1,51,30,11,55,36,11,64,27,14,60,32,9,50,44,12,59,16,7,38,36,4,64,-1,-1,-1,33,0,78,44,11,67,-1,-1,-1,-1,-1,-1
"'001909",33,33,83,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,38,4,71,60,0,100,13,0,50,50,10,80,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,20,81,52,16,85,35,14,77,57,25,83,64,31,86,42,9,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,37,13,73,41,10,83,22,6,65,45,17,74,59,32,82,25,6,69,50,21,84,55,18,85,32,14,76,62,30,88,63,25,83,45,14,90,47,17,78,56,11,89,39,22,78,47,16,74,67,33,83,43,0,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,48,18,79,49,15,85,38,13,77,50,19,78,66,34,89,36,0,57,29,4,68,31,0,74,19,0,67,35,6,68,40,20,72,22,0,44,13,0,44,14,0,64,7,0,45,20,0,37,11,0,56,14,0,14,50,21,82,51,18,83,36,14,78,59,27,85,64,30,87,43,11,83,"SLOCUM ISD",48,20,82,51,18,84,36,14,79,56,27,83,62,28,85,41,6,82,51,18,80,55,10,90,30,14,68,60,19,85,75,42,92,44,22,67,43,22,83,60,20,80,29,14,86,43,43,86,-1,-1,-1,-1,-1,-1
"'002901",24,7,56,20,6,59,25,9,61,28,8,52,14,7,51,22,2,49,61,32,86,67,40,87,56,29,91,69,33,85,83,67,83,33,8,75,80,55,100,-1,-1,-1,86,57,100,75,63,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,17,71,42,18,71,42,19,74,44,16,70,47,27,72,29,5,61,28,8,62,36,7,64,19,8,73,34,10,59,33,11,56,14,0,43,31,11,62,30,11,61,31,13,66,33,11,60,34,18,63,21,2,51,43,18,72,42,19,70,41,19,73,48,19,73,42,23,70,35,6,65,37,14,66,35,13,67,37,15,70,39,13,64,40,22,68,26,3,56,62,35,77,-1,-1,-1,50,50,88,64,9,64,-1,-1,-1,-1,-1,-1,16,5,45,10,1,52,17,6,53,19,5,41,6,2,42,12,2,33,41,17,70,43,17,72,43,19,74,40,14,66,52,32,74,22,4,57,23,7,53,25,7,54,22,7,58,24,5,49,29,13,57,16,2,40,18,7,37,17,8,37,21,6,44,16,5,33,22,13,42,12,6,19,53,25,80,57,26,79,52,27,81,55,23,81,61,38,82,34,8,69,"ANDREWS ISD",43,18,71,43,19,71,42,19,74,45,17,70,48,28,72,30,5,63,40,16,69,41,12,73,40,20,71,42,16,68,45,24,73,26,5,55,35,14,65,30,10,50,35,17,78,38,13,67,63,25,75,0,0,17
"'003801",23,5,63,29,6,76,27,7,68,18,2,64,23,8,62,20,0,20,38,16,63,27,9,45,33,5,67,52,33,76,-1,-1,-1,29,0,57,90,60,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,49,24,75,51,24,79,49,26,78,50,23,75,54,32,76,33,10,57,31,9,57,43,13,70,28,6,60,32,12,54,47,18,65,8,0,33,40,16,70,43,13,76,40,18,73,41,16,68,46,22,76,28,9,49,52,26,79,52,25,83,48,27,78,58,27,81,55,37,77,40,12,65,40,17,73,39,15,77,41,21,78,41,13,72,44,26,69,36,9,53,100,80,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,13,1,55,10,0,70,16,3,63,15,0,56,0,0,40,13,0,13,45,21,71,51,22,74,50,26,77,42,18,70,52,27,75,29,9,51,22,5,55,24,1,63,23,6,61,25,7,55,23,6,57,9,2,30,15,8,38,17,13,42,18,7,51,15,9,35,20,20,20,0,0,10,60,32,82,67,37,88,62,37,83,61,30,84,63,40,86,36,12,64,"PINEYWOODS COMMUNITY ACADEMY",45,21,72,47,20,77,47,24,77,46,20,72,49,28,75,29,8,51,60,31,82,63,35,85,57,34,81,64,29,85,67,43,80,46,17,73,62,31,88,-1,-1,-1,67,33,100,60,30,90,-1,-1,-1,-1,-1,-1
"'003902",45,15,77,38,11,80,56,25,81,42,12,74,36,8,81,33,9,62,49,20,83,58,33,92,53,20,83,48,14,82,50,30,90,36,21,71,76,58,97,80,60,100,92,83,100,64,43,93,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,28,84,62,28,90,64,33,87,57,26,83,60,34,88,37,13,70,34,10,72,26,10,83,35,8,76,36,11,68,57,17,78,13,3,57,45,17,76,47,14,85,51,20,80,44,15,74,51,26,81,23,6,57,59,28,85,57,26,90,64,32,87,60,28,85,54,28,86,42,18,75,53,22,80,52,19,85,60,30,84,52,19,78,56,28,84,33,10,63,24,0,48,-1,-1,-1,44,0,67,10,0,30,.,.,.,-1,-1,-1,31,10,68,24,5,70,46,19,76,27,6,65,15,0,70,19,3,48,58,29,83,66,30,89,63,35,88,55,25,81,67,40,90,32,8,65,39,11,72,38,8,80,48,16,79,38,8,70,35,17,71,12,2,44,23,9,49,30,10,58,29,11,58,17,8,42,33,15,62,13,4,27,64,33,88,70,33,92,69,38,91,63,32,87,62,38,90,42,16,75,"HUDSON ISD",60,30,86,62,28,89,65,35,89,59,28,84,63,36,88,40,14,72,53,24,81,61,28,92,58,29,83,52,22,78,50,27,85,29,11,65,49,32,88,56,22,89,60,45,90,45,30,90,-1,-1,-1,14,14,71
