DISTRICT,D2HEE20R,D2HEE21R,D3HEE20R,D3HEE21R,D4HEE20R,D4HEE21R,DAHEE20R,DAHEE21R,DBHEE20R,DBHEE21R,DEHEE20R,DEHEE21R,DHHEE20R,DHHEE21R,DIHEE20R,DIHEE21R,DISTNAME,DLHEE20R,DLHEE21R,DSHEE20R,DSHEE21R,DWHEE20R,DWHEE21R
"'001902",-1,-1,.,.,.,.,60.4,41.5,-1,-1,31.6,20,.,-1,.,.,"CAYUGA ISD",.,.,0,20,65.1,45.5
"'001903",-1,-1,-1,-1,.,.,41.3,42.4,-1,0,27.5,28.9,14.3,72.7,.,.,"ELKHART ISD",.,.,25,6.7,44.9,41.4
"'001904",.,.,.,.,.,.,-1,54.9,.,-1,-1,47.4,.,40,.,-1,"FRANKSTON ISD",.,-1,.,40,-1,55.8
"'001906",-1,.,.,-1,.,.,63.6,52.9,-1,-1,37.5,63.6,-1,80,.,.,"NECHES ISD",.,.,-1,20,58.8,52
"'001907",40,60,-1,-1,.,.,45.4,37.8,39.7,40.4,38.4,39.3,47.6,36.9,.,.,"PALESTINE ISD",11.1,12.5,11.1,9.1,50,35.5
"'001908",-1,40,-1,.,.,.,44.4,43.4,52.4,50,38.5,41.2,30.8,47.4,.,-1,"WESTWOOD ISD",20,-1,0,18.2,42.4,37
"'001909",.,.,.,.,.,.,81.8,46.2,.,.,57.1,30,.,-1,-1,.,"SLOCUM ISD",.,.,-1,16.7,81,45.8
"'002901",0,-1,.,.,.,.,43.4,38.6,16.7,-1,30.7,26,40.1,38.2,-1,-1,"ANDREWS ISD",9.1,13.3,5.3,10.5,54,41.4
"'003801",-1,-1,-1,-1,.,-1,65.5,50.9,83.3,66.7,52.6,46.2,45.5,33.3,.,.,"PINEYWOODS COMMUNITY ACADEMY",-1,-1,40,50,65.5,45.2
"'003902",40,60,-1,.,.,.,61.1,52,38.9,31.6,44.2,32.6,57.1,45.5,-1,-1,"HUDSON ISD",-1,-1,27.8,14.3,65.4,56.7
"'003903",50,57.1,71.4,50,-1,.,56.3,47.9,47,37.1,52.1,41.6,62.3,48.6,-1,-1,"LUFKIN ISD",50,38.9,20.6,20,56.5,57.6
"'003904",-1,-1,-1,.,.,.,42.1,43.5,-1,-1,22.2,32.1,28.6,37.5,-1,-1,"HUNTINGTON ISD",.,-1,16.7,28.6,41.7,44.6
"'003905",-1,-1,.,.,.,.,52.5,50.4,30,31.6,41.5,53.5,54.9,55,.,.,"DIBOLL ISD",40,0,13.3,15.4,57.4,48.6
"'003906",-1,-1,.,.,.,.,22.9,38.5,.,.,31.6,38.9,-1,-1,.,.,"ZAVALLA ISD",.,.,-1,40,25,41.7
"'003907",-1,-1,.,-1,.,.,49,43.4,14.3,57.1,39.1,43.2,50,42.9,.,.,"CENTRAL ISD",.,-1,10,0,52.9,43.2
"'004901",33.3,-1,66.7,-1,.,.,39.6,35.9,-1,-1,23.6,25.8,23.8,29.4,-1,.,"ARANSAS COUNTY ISD",-1,0,23.5,0,49.6,38.5
"'005901",-1,-1,.,.,.,.,64.3,58.8,.,.,60,50,-1,-1,.,.,"ARCHER CITY ISD",.,.,-1,-1,66.7,58.1
"'005902",-1,-1,.,.,.,.,63.5,59.8,-1,.,53.8,42.9,66.7,42.9,.,.,"HOLLIDAY ISD",.,.,16.7,33.3,63.1,62.2
"'005904",.,.,.,.,.,.,57.9,62.5,.,.,41.7,28.6,43.8,25,.,.,"WINDTHORST ISD",-1,.,-1,-1,68.2,75
"'006902",.,-1,.,.,.,.,73.1,75,.,-1,-1,-1,50,-1,.,.,"CLAUDE ISD",.,.,60,-1,80,76.5
"'007901",.,.,.,.,.,.,30.8,15.4,.,.,33.3,15.4,32.4,12.5,.,.,"CHARLOTTE ISD",.,.,-1,9.1,-1,28.6
"'007902",-1,-1,.,.,.,.,54.6,46.1,.,.,40.4,25,47.7,36.2,.,.,"JOURDANTON ISD",-1,-1,0,7.7,66.7,60.5
"'007904",-1,.,.,.,.,.,35.8,37.3,-1,-1,27.5,26.8,37.5,37.3,.,.,"LYTLE ISD",16.7,20,0,0,23.5,38.9
"'007905",.,-1,-1,.,.,.,39.6,35.8,.,-1,34,22.6,32.7,30.7,-1,.,"PLEASANTON ISD",.,14.3,35.3,7.7,54.2,48.7
"'007906",.,.,-1,.,.,.,35.6,36.1,-1,-1,29.9,29.7,32.1,35.6,-1,.,"POTEET ISD",-1,-1,7.1,0,77.8,41.2
"'008901",-1,.,-1,-1,.,.,60,56.7,45,60,36.5,35.1,47.5,36.2,.,.,"BELLVILLE ISD",14.3,0,0,10,66.7,65.1
"'008902",-1,-1,-1,100,.,.,52.6,47.4,50,47.6,39.2,36.7,39.5,33.3,.,-1,"SEALY ISD",11.1,8,27.3,18.2,64.6,59.5
"'008903",.,.,.,-1,.,.,67.4,48.6,-1,37.5,52.4,32.4,53.8,32.4,.,.,"BRAZOS ISD",-1,-1,-1,14.3,86.7,70.4
"'009901",.,.,.,.,.,.,36.7,28.6,.,.,28.4,25.4,33.7,26.9,.,.,"MULESHOE ISD",-1,0,36.4,22.2,58.3,40
"'010901",.,-1,.,.,.,.,66.7,29.2,.,-1,58.3,13.3,55.6,-1,.,.,"MEDINA ISD",.,.,-1,-1,73.3,36.8
"'010902",.,40,.,.,.,.,51.9,41,-1,.,38.2,30.2,52.5,43.1,.,.,"BANDERA ISD",-1,-1,0,11.1,51.1,39.8
"'011901",54.5,35.7,60,60,-1,-1,37.2,29.6,38.7,33.3,25.9,20.4,30.8,23.8,-1,-1,"BASTROP ISD",7.3,6.8,9.8,11.7,47.3,42.4
"'011902",66.7,66.7,-1,-1,.,.,41.7,37.2,58.7,43.8,37,31.9,34.9,32.2,.,.,"ELGIN ISD",23.5,9.1,14.3,4,48,45.1
"'011904",40,40,-1,-1,.,.,44.5,26.3,20,27.3,31.6,18,37.9,21.3,.,-1,"SMITHVILLE ISD",-1,0,21.4,12.5,49.5,28.3
"'011905",-1,.,.,.,.,.,57.1,43.8,.,.,-1,66.7,-1,60,.,.,"MCDADE ISD",.,-1,-1,-1,-1,16.7
"'012901",-1,-1,-1,.,.,.,71.4,64.9,-1,.,64.7,42.9,-1,66.7,.,.,"SEYMOUR ISD",.,.,40,-1,67.9,65.4
"'013801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ST MARY'S ACADEMY CHARTER SCHOOL",.,.,.,.,.,.
"'013901",-1,16.7,.,-1,-1,.,49,35.2,-1,14.3,45.1,31.7,49.5,37.4,.,.,"BEEVILLE ISD",20,-1,24.1,12.5,46.7,31.4
"'013902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PAWNEE ISD",.,.,.,.,.,.
"'013903",.,-1,.,.,.,.,42.1,29.7,.,-1,33.3,29,35,16.7,-1,.,"PETTUS ISD",.,.,-1,-1,52.9,33.3
"'013905",-1,.,.,-1,.,-1,49.3,63.5,.,.,40.5,52.6,46.3,63,.,.,"SKIDMORE-TYNAN ISD",-1,.,22.2,0,60,64.3
"'014801",-1,11.1,-1,-1,-1,.,14.3,7.4,25.3,7.3,14.8,5.6,10.9,6.8,.,-1,"RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN",9.1,2.3,11.3,6.1,14.3,9.4
"'014803",.,-1,.,.,.,.,60,40,-1,-1,-1,-1,-1,0,-1,.,"PRIORITY CHARTER SCHOOLS",.,.,-1,20,-1,71.4
"'014804",71.4,-1,-1,-1,.,-1,64.5,56.5,40,-1,50,14.3,88.9,52.9,.,.,"ORENDA CHARTER SCHOOL",.,.,20,-1,61.3,55.9
"'014901",-1,20,-1,-1,.,-1,54.4,43,-1,-1,36.7,17.2,42.1,40.9,-1,.,"ACADEMY ISD",-1,.,7.1,7.7,58.7,45.9
