DISTRICT,DD006AMA1222R,DD006AMA1322R,DD006AMA1S22R,DD006ARE1222R,DD006ARE1322R,DD006ARE1S22R,DD206AMA1222R,DD206AMA1322R,DD206AMA1S22R,DD206ARE1222R,DD206ARE1322R,DD206ARE1S22R,DD306AMA1222R,DD306AMA1322R,DD306AMA1S22R,DD306ARE1222R,DD306ARE1322R,DD306ARE1S22R,DD406AMA1222R,DD406AMA1322R,DD406AMA1S22R,DD406ARE1222R,DD406ARE1322R,DD406ARE1S22R,DDA06AMA1222R,DDA06AMA1322R,DDA06AMA1S22R,DDA06ARE1222R,DDA06ARE1322R,DDA06ARE1S22R,DDB06AMA1222R,DDB06AMA1322R,DDB06AMA1S22R,DDB06ARE1222R,DDB06ARE1322R,DDB06ARE1S22R,DDE06AMA1222R,DDE06AMA1322R,DDE06AMA1S22R,DDE06ARE1222R,DDE06ARE1322R,DDE06ARE1S22R,DDF06AMA1222R,DDF06AMA1322R,DDF06AMA1S22R,DDF06ARE1222R,DDF06ARE1322R,DDF06ARE1S22R,DDH06AMA1222R,DDH06AMA1322R,DDH06AMA1S22R,DDH06ARE1222R,DDH06ARE1322R,DDH06ARE1S22R,DDI06AMA1222R,DDI06AMA1322R,DDI06AMA1S22R,DDI06ARE1222R,DDI06ARE1322R,DDI06ARE1S22R,DDL06AMA1222R,DDL06AMA1322R,DDL06AMA1S22R,DDL06ARE1222R,DDL06ARE1322R,DDL06ARE1S22R,DDM06AMA1222R,DDM06AMA1322R,DDM06AMA1S22R,DDM06ARE1222R,DDM06ARE1322R,DDM06ARE1S22R,DDR06AMA1222R,DDR06AMA1322R,DDR06AMA1S22R,DDR06ARE1222R,DDR06ARE1322R,DDR06ARE1S22R,DDS06AMA1222R,DDS06AMA1322R,DDS06AMA1S22R,DDS06ARE1222R,DDS06ARE1322R,DDS06ARE1S22R,DDW06AMA1222R,DDW06AMA1322R,DDW06AMA1S22R,DDW06ARE1222R,DDW06ARE1322R,DDW06ARE1S22R,DISTNAME,DNC06AMA1222R,DNC06AMA1322R,DNC06AMA1S22R,DNC06ARE1222R,DNC06ARE1322R,DNC06ARE1S22R,DNM06AMA1222R,DNM06AMA1322R,DNM06AMA1S22R,DNM06ARE1222R,DNM06ARE1322R,DNM06ARE1S22R,DNS06AMA1222R,DNS06AMA1322R,DNS06AMA1S22R,DNS06ARE1222R,DNS06ARE1322R,DNS06ARE1S22R
"'001902",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,48,16,80,58,28,78,-1,-1,-1,-1,-1,-1,30,4,70,43,17,70,50,11,86,54,25,82,50,13,63,50,13,75,.,.,.,.,.,.,.,.,.,.,.,.,45,23,73,64,32,73,14,0,50,29,7,43,11,0,22,0,0,11,49,16,86,62,30,81,"CAYUGA ISD",57,17,83,69,31,86,27,13,73,33,20,60,-1,-1,-1,-1,-1,-1
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,28,5,68,45,27,73,0,0,40,0,0,60,8,3,54,27,14,65,29,3,74,55,34,84,29,0,57,43,29,71,.,.,.,.,.,.,.,.,.,.,.,.,27,7,64,36,20,64,12,0,46,20,10,49,10,10,50,10,10,20,30,6,72,49,29,75,"ELKHART ISD",32,4,67,42,28,74,20,8,72,52,24,72,-1,-1,-1,-1,-1,-1
"'001904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,62,33,91,47,24,78,33,0,100,33,17,50,63,26,91,40,11,71,62,38,92,50,19,88,63,13,88,38,13,63,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,63,28,91,44,28,69,33,11,81,19,7,59,0,0,60,0,0,30,65,43,90,48,25,83,"FRANKSTON ISD",63,31,89,40,17,74,61,35,96,57,35,83,-1,-1,-1,-1,-1,-1
"'001906",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,68,24,100,60,28,72,-1,-1,-1,-1,-1,-1,50,8,100,50,17,67,73,13,100,60,27,73,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,60,40,100,60,30,70,46,0,100,31,15,46,-1,-1,-1,-1,-1,-1,80,30,100,65,30,80,"NECHES ISD",57,29,100,57,29,64,82,18,100,64,27,82,.,.,.,.,.,.
"'001907",40,24,76,32,24,72,50,0,100,67,50,83,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,41,17,80,43,21,74,30,7,78,33,13,74,34,15,75,35,18,69,33,12,79,39,22,71,39,19,74,38,17,69,-1,-1,-1,-1,-1,-1,38,20,77,28,21,69,50,21,80,48,20,77,29,11,71,27,12,64,26,9,57,35,4,52,54,21,88,57,30,82,"PALESTINE ISD",43,19,79,42,23,74,37,9,81,46,15,76,43,14,86,29,0,57
"'001908",9,0,36,27,9,82,0,0,0,0,0,20,.,.,.,.,.,.,.,.,.,.,.,.,16,4,47,42,24,69,12,6,24,29,18,53,9,1,43,37,19,66,10,2,45,43,29,65,4,0,40,28,12,80,.,.,.,.,.,.,9,0,36,27,9,82,23,8,49,41,18,74,3,0,27,27,13,57,0,0,18,18,6,29,26,7,65,60,37,74,"WESTWOOD ISD",15,5,47,44,27,69,18,4,46,39,18,68,-1,-1,-1,-1,-1,-1
"'001909",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,36,12,68,48,20,72,.,.,.,.,.,.,18,0,55,27,0,55,50,21,79,57,29,86,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,18,0,55,36,9,55,23,0,38,15,8,54,25,0,38,38,0,63,38,10,67,48,19,71,"SLOCUM ISD",35,18,65,47,29,71,38,0,75,50,0,75,.,.,.,.,.,.
"'002901",16,3,57,38,14,62,50,0,100,83,33,100,.,.,.,.,.,.,.,.,.,.,.,.,35,12,77,46,25,77,-1,-1,-1,-1,-1,-1,21,5,64,39,20,68,28,10,75,48,30,78,30,9,73,44,22,72,-1,-1,-1,-1,-1,-1,15,3,55,33,9,58,41,14,79,45,20,77,9,1,57,22,8,60,4,0,33,13,0,33,42,18,83,49,29,87,"ANDREWS ISD",34,13,76,46,23,78,35,6,81,48,32,76,-1,-1,-1,-1,-1,-1
"'003801",40,0,60,0,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,51,29,82,51,29,73,38,25,63,38,13,63,44,21,75,35,23,65,55,31,86,55,33,79,44,13,81,31,16,66,.,.,.,.,.,.,40,0,60,0,0,40,46,26,77,46,23,66,15,0,64,21,3,49,30,20,50,20,10,20,69,50,94,78,50,88,"PINEYWOODS COMMUNITY ACADEMY",49,25,77,51,32,74,54,38,92,50,21,71,-1,-1,-1,-1,-1,-1
"'003902",40,20,90,30,10,70,57,43,100,43,14,86,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,69,37,92,60,38,85,50,29,86,50,36,71,55,27,91,52,31,77,69,40,94,65,43,85,57,27,89,48,23,77,.,.,.,.,.,.,29,12,88,18,6,65,68,35,91,55,34,85,44,16,85,32,10,69,23,0,69,12,0,38,75,41,94,67,45,88,"HUDSON ISD",70,37,92,59,35,86,66,37,93,64,46,81,-1,-1,-1,-1,-1,-1
