DISTRICT,DD000A001222R,DD000A001322R,DD000A001S22R,DD000AC01222R,DD000AC01322R,DD000AC01S22R,DD000AM01222R,DD000AM01322R,DD000AM01S22R,DD000AR01222R,DD000AR01322R,DD000AR01S22R,DD000AS01222R,DD000AS01322R,DD000AS01S22R,DD200A001222R,DD200A001322R,DD200A001S22R,DD200AC01222R,DD200AC01322R,DD200AC01S22R,DD200AM01222R,DD200AM01322R,DD200AM01S22R,DD200AR01222R,DD200AR01322R,DD200AR01S22R,DD200AS01222R,DD200AS01322R,DD200AS01S22R,DD300A001222R,DD300A001322R,DD300A001S22R,DD300AC01222R,DD300AC01322R,DD300AC01S22R,DD300AM01222R,DD300AM01322R,DD300AM01S22R,DD300AR01222R,DD300AR01322R,DD300AR01S22R,DD300AS01222R,DD300AS01322R,DD300AS01S22R,DD400A001222R,DD400A001322R,DD400A001S22R,DD400AC01222R,DD400AC01322R,DD400AC01S22R,DD400AM01222R,DD400AM01322R,DD400AM01S22R,DD400AR01222R,DD400AR01322R,DD400AR01S22R,DD400AS01222R,DD400AS01322R,DD400AS01S22R,DDA00A001222R,DDA00A001322R,DDA00A001S22R,DDA00AC01222R,DDA00AC01322R,DDA00AC01S22R,DDA00AM01222R,DDA00AM01322R,DDA00AM01S22R,DDA00AR01222R,DDA00AR01322R,DDA00AR01S22R,DDA00AS01222R,DDA00AS01322R,DDA00AS01S22R,DDB00A001222R,DDB00A001322R,DDB00A001S22R,DDB00AC01222R,DDB00AC01322R,DDB00AC01S22R,DDB00AM01222R,DDB00AM01322R,DDB00AM01S22R,DDB00AR01222R,DDB00AR01322R,DDB00AR01S22R,DDB00AS01222R,DDB00AS01322R,DDB00AS01S22R,DDE00A001222R,DDE00A001322R,DDE00A001S22R,DDE00AC01222R,DDE00AC01322R,DDE00AC01S22R,DDE00AM01222R,DDE00AM01322R,DDE00AM01S22R,DDE00AR01222R,DDE00AR01322R,DDE00AR01S22R,DDE00AS01222R,DDE00AS01322R,DDE00AS01S22R,DDF00A001222R,DDF00A001322R,DDF00A001S22R,DDF00AC01222R,DDF00AC01322R,DDF00AC01S22R,DDF00AM01222R,DDF00AM01322R,DDF00AM01S22R,DDF00AR01222R,DDF00AR01322R,DDF00AR01S22R,DDF00AS01222R,DDF00AS01322R,DDF00AS01S22R,DDH00A001222R,DDH00A001322R,DDH00A001S22R,DDH00AC01222R,DDH00AC01322R,DDH00AC01S22R,DDH00AM01222R,DDH00AM01322R,DDH00AM01S22R,DDH00AR01222R,DDH00AR01322R,DDH00AR01S22R,DDH00AS01222R,DDH00AS01322R,DDH00AS01S22R,DDI00A001222R,DDI00A001322R,DDI00A001S22R,DDI00AC01222R,DDI00AC01322R,DDI00AC01S22R,DDI00AM01222R,DDI00AM01322R,DDI00AM01S22R,DDI00AR01222R,DDI00AR01322R,DDI00AR01S22R,DDI00AS01222R,DDI00AS01322R,DDI00AS01S22R,DDL00A001222R,DDL00A001322R,DDL00A001S22R,DDL00AC01222R,DDL00AC01322R,DDL00AC01S22R,DDL00AM01222R,DDL00AM01322R,DDL00AM01S22R,DDL00AR01222R,DDL00AR01322R,DDL00AR01S22R,DDL00AS01222R,DDL00AS01322R,DDL00AS01S22R,DDM00A001222R,DDM00A001322R,DDM00A001S22R,DDM00AC01222R,DDM00AC01322R,DDM00AC01S22R,DDM00AM01222R,DDM00AM01322R,DDM00AM01S22R,DDM00AR01222R,DDM00AR01322R,DDM00AR01S22R,DDM00AS01222R,DDM00AS01322R,DDM00AS01S22R,DDR00A001222R,DDR00A001322R,DDR00A001S22R,DDR00AC01222R,DDR00AC01322R,DDR00AC01S22R,DDR00AM01222R,DDR00AM01322R,DDR00AM01S22R,DDR00AR01222R,DDR00AR01322R,DDR00AR01S22R,DDR00AS01222R,DDR00AS01322R,DDR00AS01S22R,DDS00A001222R,DDS00A001322R,DDS00A001S22R,DDS00AC01222R,DDS00AC01322R,DDS00AC01S22R,DDS00AM01222R,DDS00AM01322R,DDS00AM01S22R,DDS00AR01222R,DDS00AR01322R,DDS00AR01S22R,DDS00AS01222R,DDS00AS01322R,DDS00AS01S22R,DDW00A001222R,DDW00A001322R,DDW00A001S22R,DDW00AC01222R,DDW00AC01322R,DDW00AC01S22R,DDW00AM01222R,DDW00AM01322R,DDW00AM01S22R,DDW00AR01222R,DDW00AR01322R,DDW00AR01S22R,DDW00AS01222R,DDW00AS01322R,DDW00AS01S22R,DISTNAME,DNC00A001222R,DNC00A001322R,DNC00A001S22R,DNC00AC01222R,DNC00AC01322R,DNC00AC01S22R,DNC00AM01222R,DNC00AM01322R,DNC00AM01S22R,DNC00AR01222R,DNC00AR01322R,DNC00AR01S22R,DNC00AS01222R,DNC00AS01322R,DNC00AS01S22R,DNM00A001222R,DNM00A001322R,DNM00A001S22R,DNM00AC01222R,DNM00AC01322R,DNM00AC01S22R,DNM00AM01222R,DNM00AM01322R,DNM00AM01S22R,DNM00AR01222R,DNM00AR01322R,DNM00AR01S22R,DNM00AS01222R,DNM00AS01322R,DNM00AS01S22R,DNS00A001222R,DNS00A001322R,DNS00A001S22R,DNS00AC01222R,DNS00AC01322R,DNS00AC01S22R,DNS00AM01222R,DNS00AM01322R,DNS00AM01S22R,DNS00AR01222R,DNS00AR01322R,DNS00AR01S22R,DNS00AS01222R,DNS00AS01322R,DNS00AS01S22R
"'001902",0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,54,34,83,-1,-1,-1,54,31,92,57,50,79,-1,-1,-1,33,17,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,33,84,54,22,85,65,34,88,67,39,81,47,21,78,17,3,60,14,14,86,22,0,56,17,0,50,-1,-1,-1,50,23,76,46,14,79,51,20,81,52,29,71,41,21,74,64,33,86,52,25,83,67,31,91,70,42,86,45,15,78,53,24,74,58,16,68,57,34,83,50,21,71,43,14,57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,61,32,82,55,20,86,63,37,85,65,36,77,49,25,78,37,10,67,32,1,72,42,12,75,38,14,60,29,3,63,13,1,37,15,4,44,14,0,41,13,0,33,0,0,31,66,35,87,56,24,89,68,36,89,73,43,85,48,21,81,"CAYUGA ISD",66,35,86,55,21,85,69,39,90,72,42,84,51,24,79,53,25,79,51,24,84,54,23,83,56,31,76,38,13,75,50,20,90,20,0,80,50,33,100,83,33,100,-1,-1,-1
"'001903",39,10,82,50,0,50,38,5,86,39,17,87,-1,-1,-1,46,23,77,56,11,67,53,29,82,39,28,83,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,59,30,85,63,29,86,49,23,84,64,34,85,63,42,90,22,8,46,18,9,55,9,5,41,25,7,43,-1,-1,-1,42,19,77,44,19,78,34,14,75,47,21,78,53,33,88,61,30,88,64,24,88,52,21,85,70,39,89,55,32,90,56,25,85,61,16,84,45,16,82,60,31,86,69,50,94,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,37,5,78,40,0,40,41,6,82,32,5,84,.,.,.,56,31,83,62,33,85,47,25,82,58,30,82,71,51,89,25,7,63,24,8,60,20,3,61,28,8,64,37,17,71,17,8,45,18,4,43,18,7,52,14,10,37,31,15,62,61,32,88,66,33,89,51,24,86,67,36,88,64,43,92,"ELKHART ISD",59,30,85,62,28,86,50,22,83,64,34,86,65,44,90,57,32,85,65,30,86,47,26,85,63,36,84,60,38,88,50,19,83,80,20,100,42,21,89,52,19,76,-1,-1,-1
"'001904",40,20,65,40,10,70,42,21,79,40,24,56,33,17,50,58,28,75,50,30,70,52,22,78,71,32,82,-1,-1,-1,53,16,84,-1,-1,-1,83,33,100,43,14,86,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,25,83,49,21,81,57,26,85,63,24,84,48,26,74,38,6,74,31,0,69,43,7,83,40,8,73,27,7,67,49,17,77,43,21,76,52,20,81,52,14,76,35,12,67,59,26,85,48,22,80,56,30,85,70,25,91,47,21,76,46,19,75,35,12,77,50,26,80,53,18,72,29,18,71,20,20,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,11,60,25,0,63,35,12,76,35,17,52,20,0,40,56,24,80,51,20,81,58,23,85,57,24,77,49,32,71,33,10,67,25,3,63,33,10,72,38,11,70,23,11,50,22,6,50,28,8,58,23,5,55,22,8,49,10,0,29,62,28,85,55,26,84,59,28,86,68,27,87,57,32,79,"FRANKSTON ISD",58,25,83,50,23,79,58,26,85,64,25,86,45,23,71,56,24,82,47,18,82,55,26,85,61,22,80,54,33,78,70,20,100,-1,-1,-1,78,22,100,56,22,100,.,.,.
"'001906",58,8,83,-1,-1,-1,60,20,100,50,0,67,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,27,90,54,23,90,69,27,94,67,30,87,51,26,83,48,19,88,33,11,89,59,18,88,53,26,84,-1,-1,-1,53,17,86,42,9,82,58,15,92,55,22,83,48,17,78,63,27,90,50,19,86,65,26,95,72,31,91,46,21,71,69,26,91,54,15,92,79,21,100,68,32,82,60,40,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,58,8,83,-1,-1,-1,60,20,100,50,0,67,.,.,.,64,28,89,56,25,94,73,28,94,61,28,83,59,32,95,41,9,80,20,0,80,52,9,91,41,12,70,38,15,85,23,9,60,0,0,40,33,13,80,29,10,52,0,0,50,66,29,89,59,27,91,70,31,94,68,29,88,54,27,78,"NECHES ISD",68,29,92,63,24,91,69,28,97,73,32,90,54,30,89,57,24,85,35,22,87,68,26,91,56,25,82,40,10,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'001907",35,14,67,36,12,71,38,18,72,34,14,64,30,7,58,44,18,74,42,15,77,38,14,72,52,22,72,38,19,81,77,44,85,67,50,100,86,43,93,81,44,81,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,46,20,74,48,22,78,44,20,75,48,20,72,42,20,72,33,11,64,26,9,69,32,10,64,36,14,63,24,8,59,40,16,70,40,17,75,38,17,71,44,16,69,36,16,67,46,21,76,45,20,77,41,19,75,52,23,76,44,20,76,44,19,73,48,21,76,42,22,75,45,16,72,43,17,70,50,17,75,-1,-1,-1,-1,-1,-1,50,0,67,-1,-1,-1,30,12,63,31,10,68,34,15,70,29,11,59,23,5,50,46,20,72,49,23,78,46,21,74,46,17,69,41,20,68,30,9,63,29,8,68,28,9,65,32,9,61,27,7,60,22,6,43,22,4,49,20,7,44,24,6,39,21,7,47,60,29,83,66,34,88,55,26,83,64,30,81,54,32,84,"PALESTINE ISD",46,20,73,47,21,77,44,21,75,48,20,72,41,18,71,46,20,75,50,26,79,40,17,74,49,19,73,45,28,77,52,20,85,58,25,100,56,23,86,47,14,79,-1,-1,-1
"'001908",20,7,51,13,4,35,21,9,55,22,7,55,17,0,44,38,13,62,41,17,62,35,15,60,44,10,68,20,7,40,100,88,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,40,16,69,41,15,73,34,14,66,45,19,70,38,15,68,26,11,56,31,10,65,18,9,50,30,13,58,30,14,62,34,14,65,35,13,67,29,12,61,40,16,68,30,13,64,42,16,71,42,13,71,33,13,67,51,21,76,36,11,69,36,12,69,34,8,68,35,13,69,38,14,70,33,9,66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,7,51,13,4,35,21,9,55,22,7,55,17,0,44,38,16,66,41,18,74,35,16,65,39,16,65,41,18,66,26,7,57,31,8,69,19,4,52,27,9,56,27,7,57,18,6,37,18,5,40,16,6,33,21,6,38,14,3,37,48,21,75,50,22,81,39,17,71,55,24,75,47,18,75,"WESTWOOD ISD",40,16,70,40,15,75,34,14,68,45,18,71,39,16,68,39,17,65,44,17,67,33,15,60,43,20,68,38,11,66,30,5,60,-1,-1,-1,11,0,44,44,11,78,.,.,.
"'001909",71,29,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,6,88,-1,-1,-1,20,0,80,63,13,88,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55,25,86,45,16,96,42,19,81,66,31,86,73,38,92,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,45,17,81,34,10,97,28,8,76,59,26,80,85,31,92,58,26,90,41,12,100,46,21,83,72,36,94,68,26,90,57,20,87,60,20,100,32,16,79,79,16,84,67,50,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,52,23,81,50,19,92,38,17,79,60,24,78,82,59,94,34,8,75,26,6,91,25,3,68,41,13,72,67,8,83,21,1,58,8,0,85,21,0,53,28,3,53,-1,-1,-1,55,26,86,44,15,95,44,20,81,65,33,86,74,38,90,"SLOCUM ISD",55,25,86,51,15,97,42,20,79,64,30,86,74,40,91,55,24,88,25,19,94,42,16,87,73,33,86,69,31,92,41,12,76,-1,-1,-1,33,0,67,67,33,83,-1,-1,-1
"'002901",30,10,60,24,4,59,30,11,64,33,12,57,20,8,57,58,31,85,44,31,75,59,26,88,61,34,88,64,36,82,87,67,100,-1,-1,-1,100,100,100,71,57,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,21,76,46,18,75,44,21,76,50,22,75,50,27,81,41,13,71,42,17,75,25,5,65,52,13,74,50,25,75,36,14,67,35,11,67,33,13,68,39,15,66,36,17,69,48,22,77,43,17,73,42,20,75,55,25,79,45,22,79,42,17,72,40,13,71,40,17,73,45,18,71,45,22,77,28,6,83,-1,-1,-1,-1,-1,-1,22,0,78,-1,-1,-1,23,6,54,13,2,47,23,6,59,28,9,52,11,2,50,47,21,75,49,19,78,47,22,77,45,18,71,55,32,82,25,8,60,22,5,58,23,7,60,27,9,58,27,11,65,19,7,43,21,5,48,20,8,48,19,5,36,16,9,44,58,29,84,60,27,84,55,28,84,60,29,84,62,38,89,"ANDREWS ISD",49,22,77,48,19,77,46,21,78,51,21,76,51,29,83,42,20,70,40,15,69,38,18,71,46,23,70,46,21,70,54,24,83,56,11,89,57,24,86,55,32,82,-1,-1,-1
"'003801",27,11,66,33,0,67,28,11,64,29,16,71,0,0,43,48,13,74,29,0,71,48,14,67,59,18,77,-1,-1,-1,73,53,93,-1,-1,-1,67,50,100,83,67,83,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,56,30,82,57,27,83,53,29,81,60,31,82,51,32,82,38,14,68,34,13,66,34,11,65,42,15,68,42,16,77,48,23,77,50,21,82,45,21,76,52,24,77,40,22,76,57,29,82,60,21,80,51,29,80,64,33,84,50,26,82,50,24,81,54,19,84,48,24,80,49,23,82,51,38,70,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,25,9,64,36,0,73,26,12,62,25,11,69,0,0,33,55,30,81,55,32,85,55,29,82,57,29,79,53,39,82,32,9,67,33,5,65,26,9,67,36,10,66,31,8,71,21,6,48,16,3,50,27,6,53,20,8,41,15,0,55,67,40,88,68,39,89,62,39,88,74,43,87,58,38,89,"PINEYWOODS COMMUNITY ACADEMY",56,28,82,54,24,83,53,28,83,60,30,82,50,31,83,58,34,80,65,39,82,53,32,78,60,34,81,56,37,78,78,44,89,100,40,100,73,45,91,73,45,82,.,.,.
"'003902",45,18,74,33,8,68,48,23,83,49,18,73,36,10,56,50,29,83,38,13,75,55,31,90,57,37,81,20,20,80,82,56,97,100,80,100,83,67,100,77,46,92,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,60,31,86,52,21,84,62,33,88,62,31,84,60,36,87,37,14,71,21,7,67,44,15,74,39,16,70,33,17,71,46,19,78,37,11,74,47,20,81,48,20,77,51,23,78,61,32,87,50,19,82,62,33,89,66,35,87,51,33,84,53,24,81,41,15,77,53,25,84,56,24,81,60,34,83,8,0,62,-1,-1,-1,20,0,80,0,0,60,-1,-1,-1,37,13,69,27,6,61,42,16,80,39,15,66,17,4,35,60,30,85,54,24,86,62,33,87,58,27,81,69,40,90,35,11,71,25,5,65,38,13,77,35,10,68,39,16,71,23,9,49,19,11,41,24,9,55,22,8,46,34,11,57,66,35,89,61,26,90,68,38,91,67,35,88,64,40,91,"HUDSON ISD",62,32,87,55,24,86,64,35,89,63,32,85,63,40,88,53,25,82,43,13,77,54,26,85,58,28,81,47,23,81,52,26,88,50,25,88,52,40,88,52,12,88,.,.,.
